TimePeriod,Indicator,Subgroup,DataValue
2019-20,6.1.2: Percentage of population using an improved drinking water source (Rural),Rural,96.96
2019-20,6.2.1: Proportion of households having access to toilet facility (Urban and Rural),Rural,100.0
2019-20,6.2.2: Percentage of Districts achieving Open Defecation Free (ODF) target,Total,100.0
2019-20,"6.4.2: Per capita storage of water, (in m3/person)",Total,253.39
2019-20,7.1.1: Percentage of households electrified,Total,99.77
2019-20,7.1.2: Percentage of households using clean cooking fuel,Total,102.11
2019-20,8.1.1: Annual growth rate of GDP (adjusted to price changes) per capita,Total,3.0
2019-20,"8.10.1 (a): Number of banking outlets per 1,00,000 population, (b) Automated Teller Machines (ATMs) per 1,00,000 population",ATMs,17.5
2019-20,"8.10.1 (a): Number of banking outlets per 1,00,000 population, (b) Automated Teller Machines (ATMs) per 1,00,000 population",Banking Outlets,98.8
2019-20,"8.10.2: Number of accounts (include deposit and credit accounts) of scheduled commercial banks per 1,000 population",Total,1744.0
2019-20,"8.2.2: Total number of patents issued (granted), (similar to Indicator 8.3.2 and 9.5.3) )",Total,24936.0
2019-20,8.2.3: Annual growth in manufacturing sector,Manufacturing,-2.4
2019-20,8.2.4: Annual growth in agriculture sector,"Agriculture, forestry and fishing",4.3
2019-20,"8.3.2: Total number of patents issued (granted), (similar to Indicator 8.2.2 and 9.5.3) )",Total,24936.0
2019-20,8.3.3: Outstanding Credit to MSME,Total,1613582.17
2019-20,8.3.4: Number of MSME units registered under the online Udyog Aadhaar registration,Total,2564468.0
2019-20,"8.4.2: Per capita fossil fuel consumption, (in Kg.)",Total,157.5
2019-20,8.8.3: Percentage of households receiving social protection benefits under Mahatma Gandhi National Rural Employment Guarantee Act (MGNREGA),Total,39.05
2019-20,8.9.1: Direct contribution of Tourism to total GDP and in growth rate (in percentage),Growth Rate,10.92
2019-20,8.9.1: Direct contribution of Tourism to total GDP and in growth rate (in percentage),Total share in GDP (in %),2.68
2019-20,"9.1.2: Passenger and freight volumes, by mode of transport",Airline Domestic - Cargo,0.73
2019-20,"9.1.2: Passenger and freight volumes, by mode of transport",Airline Domestic - Passengers,141.2
2019-20,"9.1.2: Passenger and freight volumes, by mode of transport",Airline International - Cargo,0.22
2019-20,"9.1.2: Passenger and freight volumes, by mode of transport",Airline International - Passengers,22.72
2019-20,"9.1.2: Passenger and freight volumes, by mode of transport",Railways Freight,708034.0
2019-20,"9.1.2: Passenger and freight volumes, by mode of transport",Railways Passengers,8086.0
2019-20,9.1.3: Gross Capital Formation by industry of use,Constant Prices,4888802.0
2019-20,9.1.3: Gross Capital Formation by industry of use,Current Prices,6045754.0
2019-20,9.2.1: Manufacturing Value Added (MVA) as a proportion of Gross Domestic Product (GDP) and per capita,At constant price,15.58
2019-20,9.2.1: Manufacturing Value Added (MVA) as a proportion of Gross Domestic Product (GDP) and per capita,At current price,13.33
2019-20,9.2.1: Manufacturing Value Added (MVA) as a proportion of Gross Domestic Product (GDP) and per capita,Per capita,1692.34
2019-20,9.2.3: Percentage Share of GVA in Manufacturing to Total GVA,GVA,14.7
2019-20,"9.3.1: Share of household sector in total industry value added, (in percentage)",Total,44.3
2019-20,"9.3.2: Percentage of credit flow MSME (as a percentage of Total Adjusted Net Bank Credit), (in percentage)",Total,16.39
2019-20,9.5.1: Research and development expenditure as a proportion of GDP,Total,3.75
2019-20,"9.5.3: Total number of patents issued (granted), (similar to Indicator 8.2.2 and 8.3.2) )",Total,24936.0
2019-20,"9.b.1: Share of IPP in total Gross Fixed Capital Formation, (in percentage)",Total,13.03
2019-20,"9.b.2: Share of GVA of Information and Computer related activities in total GVA, (in percentage)",Constant Prices,5.35
2019-20,"9.b.2: Share of GVA of Information and Computer related activities in total GVA, (in percentage)",Current Prices,4.71
2019-20,9.c.1: Number of Internet Subscription as percentage of total population,Total,54.29
2019-20 ,"17.1.1: Total government revenue as a proportion of GDP, by source",Total,8.28
2020,1.5.4: Proportion of local governments that adopt and implement local disaster risk reduction strategies in line with na-tional disaster risk reduction strategies (similar to 11.b.2 and 13.1.3),Total,0.919
2020,"10.2.2: Proportion of seats held by women in national Parliament, State legislation and Local Self Government (similar to Indicator 5.5.1 and 16.7.1)",Rajya Sabha,10.33
2020,10.7.1: Recruitment cost borne by employee as a proportion of monthly income earned in country of destination,Total,2.14
2020,11.3.1: Proportion of Cities with Master Plan (similar to 11.a.1),Total,35.84
2020,11.6.1: Percentage of Waste processed,Total,65.0
2020,11.6.4: Percentage of wards with 100% door to door waste collection,Total,96.0
2020,11.a.1: Proportion of Cities with Master Plan (similar to 11.3.1),Total,35.84
2020,11.b.2: Proportion of local governments that adopt and implement local disaster risk reduction strategies in line with national disaster risk reduction strategies (similar to  1.5.4 and 13.1.3),Total,0.919
2020,12.5.1: Number of waste recycling plants installed,Total,829.0
2020,12.5.2: Number of Urban Local Bodies using waste segregation techniques,Total,76.0
2020,12.8.1: Extent to which (i) global citizenship education and (ii) education for sustainable development are mainstreamed in (a) national education policies; (b) curricula; (c) teacher education; and (d) student assessment (similar to 4.7.1 and 13.3.1),Curricula,0.92
2020,12.8.1: Extent to which (i) global citizenship education and (ii) education for sustainable development are mainstreamed in (a) national education policies; (b) curricula; (c) teacher education; and (d) student assessment (similar to 4.7.1 and 13.3.1),Policy,1.0
2020,12.8.1: Extent to which (i) global citizenship education and (ii) education for sustainable development are mainstreamed in (a) national education policies; (b) curricula; (c) teacher education; and (d) student assessment (similar to 4.7.1 and 13.3.1),Student Assessment,1.0
2020,12.8.1: Extent to which (i) global citizenship education and (ii) education for sustainable development are mainstreamed in (a) national education policies; (b) curricula; (c) teacher education; and (d) student assessment (similar to 4.7.1 and 13.3.1),Teacher Education,0.95
2020,13.1.3: Proportion of local governments that adopt and implement local disaster risk reduction strategies in line with national disaster risk reduction strategies (similar to 11.b.2 and 1.5.4),Total,0.919
2020,"13.2.1: Pre 2020 action: Achievement of pre-2020 goals as per country priority (percentage reduction in emission intensity of GDP, over 2005 level)",Total,21.0
2020,13.3.1: Extent to which (i) global citizenship education and (ii) education for sustainable development are mainstreamed in (a) national education policies; (b) curricula; (c) teacher education; and (d) student assessment (similar to 12.8.1 and 4.7.1),Curricula,0.92
2020,13.3.1: Extent to which (i) global citizenship education and (ii) education for sustainable development are mainstreamed in (a) national education policies; (b) curricula; (c) teacher education; and (d) student assessment (similar to 12.8.1 and 4.7.1),Policy,1.0
2020,13.3.1: Extent to which (i) global citizenship education and (ii) education for sustainable development are mainstreamed in (a) national education policies; (b) curricula; (c) teacher education; and (d) student assessment (similar to 12.8.1 and 4.7.1),Student Assessment,1.0
2020,13.3.1: Extent to which (i) global citizenship education and (ii) education for sustainable development are mainstreamed in (a) national education policies; (b) curricula; (c) teacher education; and (d) student assessment (similar to 12.8.1 and 4.7.1),Teacher Education,0.95
2020,"14.2.2: Percentage of coastal marine protected areas in relation to Territorial Seas, 2020 (Similar to 14.5.1)",Total,5.47
2020,"14.5.1: Percentage of coastal marine protected areas in relation to Territorial Seas, 2020 (Similar to 14.2.2)",Total,5.47
2020,15.1.2: Protected area as percentage of total geographical area,Total,5.23
2020,15.1.3: Area of Ramsar sites as a percentage to the total wetland area,Total,7.09
2020,"15.7.1: Number of cases registered under the Wildlife Protection Act, 1972 (similar to 15.c.1)",Total,406.0
2020,"15.c.1: Number of cases registered under the Wildlife Protection Act, 1972 (similar to 15.7.1)",Total,406.0
2020,16.3.1: Number of courts per lakh population,Courts,1.86
2020,16.3.3: Number of Judges (all levels) per lakh population,Judges,1.47
2020,"16.7.1: Proportion of seats held by women in national Parliament, State legislation and Local Self Government (similar to Indicator 5.5.1 and 10.2.2)",Rajya Sabha,10.33
2020,2.5.1: Number of (a) plant and (b) animal genetic resources for food and agriculture secured in either medium- or long-term conservation facilities,Animal,19305.0
2020,2.5.1: Number of (a) plant and (b) animal genetic resources for food and agriculture secured in either medium- or long-term conservation facilities,Plant,464597.0
2020,"3.3.3: Malaria incidence per 1,000 population",Total,0.13
2020,3.3.5: Dengue: Case Fatality Ratio (CFR),Total,0.06
2020,"3.3.7: Percentage of blocks reporting < 1 Kala Azar case per 10,000 population out of the total endemic blocks",Total,97.47
2020,3.3.8: Percentage of districts reporting < 1% Microfilaria rate (MF) out of Targeted Endemic districts,Total,36.03
2020,"3.8.8: Total physicians, nurses and midwives per 10,000 population (similar to Indicator 3.c.1)",Total,31.3
2020,"3.c.1: Total physicians, nurses and midwives per 10,000 population (similar to Indicator 3.8.8)",Total,31.3
2020,4.7.1: Extent to which (i) global citizenship education and (ii) education for sustainable development are mainstreamed in (a) national education policies; (b) curricula; (c) teacher education; and (d) student assessment (similar to 12.8.1 and 13.3.1),Curricular,0.92
2020,4.7.1: Extent to which (i) global citizenship education and (ii) education for sustainable development are mainstreamed in (a) national education policies; (b) curricula; (c) teacher education; and (d) student assessment (similar to 12.8.1 and 13.3.1),Policy,1.0
2020,4.7.1: Extent to which (i) global citizenship education and (ii) education for sustainable development are mainstreamed in (a) national education policies; (b) curricula; (c) teacher education; and (d) student assessment (similar to 12.8.1 and 13.3.1),Student Assessment,1.0
2020,4.7.1: Extent to which (i) global citizenship education and (ii) education for sustainable development are mainstreamed in (a) national education policies; (b) curricula; (c) teacher education; and (d) student assessment (similar to 12.8.1 and 13.3.1),Teacher Education,0.95
2020,"5.1.1: Whether or not legal framework are in place to promote, enforce and monitor equality and nondiscrimination on the basis of sex.",Employment and economic benefits,100.0
2020,"5.1.1: Whether or not legal framework are in place to promote, enforce and monitor equality and nondiscrimination on the basis of sex.",Marriage and family,100.0
2020,"5.1.1: Whether or not legal framework are in place to promote, enforce and monitor equality and nondiscrimination on the basis of sex.",Overarching legal frameworks and public life,76.9
2020,"5.1.1: Whether or not legal framework are in place to promote, enforce and monitor equality and nondiscrimination on the basis of sex.",Violence against women,92.3
2020,"5.5.1: Proportion of seats held by women in national Parliament, State legislation and Local Self Government (similar to Indicator 10.2.2 and 16.7.1)",Rajya Sabha,10.33
2020,6.3.1: Percentage of Sewage Treated before discharge into Surface Water Bodies,Total,27.96
2020,8.3.5: Number of start-ups recognized under Start-up India,Total,14742.0
2020,8.9.2: Percentage change in number of visits by tourists (domestic and foreign) over previous years,Total,-73.8
2020-21,1.3.2: Number of beneficiaries under Integrated Child Development Scheme - ICDS,Total Beneficiaries (Children 6 month-6 years plus P&LM),81654722.0
2020-21,1.3.6: Number of senior citizens provided institutional assistance through Senior Citizen Homes/Day Care Centers funded by the Government,Total,50860.0
2020-21,1.3.8: Coverage of New Pension Scheme (NPS),Total,14390543.0
2020-21,1.b.1: Proportion of budget earmarked under gender budget,Total,4.72
2020-21,10.4.2: Percentage of budget allocated to North Eastern States,Total,1.48
2020-21,10.4.3: Percentage of budget allocated for welfare of Scheduled Caste and Scheduled Caste,Total,3.92
2020-21,12.3.2: Post harvest storage and distribution losses of Central/States Pool stocks of wheat and rice,Storage Loss,-0.12
2020-21,12.3.2: Post harvest storage and distribution losses of Central/States Pool stocks of wheat and rice,Transit Loss,0.31
2020-21,12.c.1: Amount of fossil fuel subsidy per unit of GDP,Total,0.2
2020-21,14.1.1: Coastal Water Quality Index (CWQI),Good,0.0
2020-21,14.1.1: Coastal Water Quality Index (CWQI),Moderate,9.0
2020-21,14.3.1: Average marine acidity (pH) measured at agreed site of representative sampling stations,Greater Than 8 pH,159.0
2020-21,14.3.1: Average marine acidity (pH) measured at agreed site of representative sampling stations,Less Than 8 pH,41.0
2020-21,"14.a.1: Allocation of budget resources (Budget Estimates) for Ocean Services, Modeling, Applications, Resources and Technology (OSMART) scheme",Total,567.0
2020-21,16.6.3: Number of Government services provided online to citizens.,Online Services,3870.0
2020-21,"17.1.1: Total government revenue as a proportion of GDP, by source",Total,7.94
2020-21,17.16.1: Number of States having a State Monitoring Framework that supports the achievement of the sustainable development goals,Total,23.0
2020-21,"17.6.1: Fixed internet broadband subscriptions per 100 inhabitants, by speed.",Broadband ( >= 512 Kbps),1.556
2020-21,"17.6.1: Fixed internet broadband subscriptions per 100 inhabitants, by speed.",Narrowband ( < 512 Kbps),0.239
2020-21,2.1.2: Proportion of beneficiaries covered under National Food Security Act 2013,Total,97.59
2020-21,2.3.1: Agriculture productivity of wheat and rice,Rice,2749.0
2020-21,2.3.1: Agriculture productivity of wheat and rice,Wheat,3424.0
2020-21,2.3.2: Gross Value Added in Agriculture per worker,Total,77540.0
2020-21,2.4.3: Percentage of net area under organic farming,Total,2.3843
2020-21,2.5.3: Conservation of fish genetic resource (in number),Total,1609.0
2020-21,2.c.1: Percentage of Agriculture Mandis enrolled in e-market,Total,15.1
2020-21,3.5.2: Number of persons treated in de-addiction centers,Total,179877.0
2020-21,3.b.2: Budgetary allocation for Department of Health Research,Total,2100.0
2020-21,5.c.1: Number of Central Ministries and States having Gender Budget Cells (GBCs),Central Ministries,57.0
2020-21,5.c.1: Number of Central Ministries and States having Gender Budget Cells (GBCs),States/UT,23.0
2020-21,7.1.2: Percentage of households using clean cooking fuel,Total,100.87
2020-21,8.1.1: Annual growth rate of GDP (adjusted to price changes) per capita,Total,-8.2
2020-21,"8.2.2: Total number of patents issued (granted), (similar to Indicator 8.3.2 and 9.5.3) )",Total,28391.0
2020-21,8.2.3: Annual growth in manufacturing sector,Manufacturing,-7.2
2020-21,8.2.4: Annual growth in agriculture sector,"Agriculture, forestry and fishing",3.6
2020-21,"8.3.2: Total number of patents issued (granted), (similar to Indicator 8.2.2 and 9.5.3) )",Total,28391.0
2020-21,"8.4.2: Per capita fossil fuel consumption, (in Kg.)",Total,142.7
2020-21,"9.1.2: Passenger and freight volumes, by mode of transport",Airline Domestic - Cargo,0.47
2020-21,"9.1.2: Passenger and freight volumes, by mode of transport",Airline Domestic - Passengers,53.33
2020-21,"9.1.2: Passenger and freight volumes, by mode of transport",Airline International - Cargo,0.04
2020-21,"9.1.2: Passenger and freight volumes, by mode of transport",Airline International - Passengers,1.64
2020-21,9.2.1: Manufacturing Value Added (MVA) as a proportion of Gross Domestic Product (GDP) and per capita,At constant price,15.51
2020-21,9.2.1: Manufacturing Value Added (MVA) as a proportion of Gross Domestic Product (GDP) and per capita,At current price,12.96
2020-21,9.2.1: Manufacturing Value Added (MVA) as a proportion of Gross Domestic Product (GDP) and per capita,Per capita,1534.71
2020-21,9.2.3: Percentage Share of GVA in Manufacturing to Total GVA,GVA,14.4
2020-21,"9.5.3: Total number of patents issued (granted), (similar to Indicator 8.2.2 and 8.3.2) )",Total,28391.0
2021,10.6.1: Whether the country is a member and has voting rights in international organizations (similar to 16.8.1),Membership (Out of 11 international organizations),9.0
2021,10.6.1: Whether the country is a member and has voting rights in international organizations (similar to 16.8.1),Voting Rights (Out of 11 international organizations),6.0
2021,16.8.1: whether the country is a member and has voting rights in international organizations (similar to 10.6.1 ),Membership (Out of 11 international organizations),9.0
2021,16.8.1: whether the country is a member and has voting rights in international organizations (similar to 10.6.1 ),Voting Rights (Out of 11 international organizations),6.0
2021,6.4.3: Per capita availability of water,Total,1486.0
2021-22,1.b.1: Proportion of budget earmarked under gender budget,Total,4.4
2021-22,10.4.2: Percentage of budget allocated to North Eastern States,Total,1.99
2021-22,10.4.3: Percentage of budget allocated for welfare of Scheduled Caste and Scheduled Caste,Total,6.04
2021-22,17.16.1: Number of States having a State Monitoring Framework that supports the achievement of the sustainable development goals,Total,25.0
2021-22,5.c.1: Number of Central Ministries and States having Gender Budget Cells (GBCs),Central Ministries,57.0
2021-22,5.c.1: Number of Central Ministries and States having Gender Budget Cells (GBCs),States/UT,23.0
"Apr-Jun, 2018","5.a.3: Wages of casual labourers (gender-wise) other than public works, (Rs. per day)",Female,182.0
"Apr-Jun, 2018","5.a.3: Wages of casual labourers (gender-wise) other than public works, (Rs. per day)",Male,291.0
"Apr-Jun, 2018","5.a.4: Average agricultural wage earnings from casual labour work other than public works, (Rs. per day)",Female,172.0
"Apr-Jun, 2018","5.a.4: Average agricultural wage earnings from casual labour work other than public works, (Rs. per day)",Male,247.0
"Apr-Jun, 2019","5.a.3: Wages of casual labourers (gender-wise) other than public works, (Rs. per day)",Female,204.0
"Apr-Jun, 2019","5.a.3: Wages of casual labourers (gender-wise) other than public works, (Rs. per day)",Male,310.0
"Apr-Jun, 2019","5.a.4: Average agricultural wage earnings from casual labour work other than public works, (Rs. per day)",Female,187.0
"Apr-Jun, 2019","5.a.4: Average agricultural wage earnings from casual labour work other than public works, (Rs. per day)",Male,261.0
"Jan-Mar, 2018","5.a.3: Wages of casual labourers (gender-wise) other than public works, (Rs. per day)",Female,177.0
"Jan-Mar, 2018","5.a.3: Wages of casual labourers (gender-wise) other than public works, (Rs. per day)",Male,280.0
"Jan-Mar, 2018","5.a.4: Average agricultural wage earnings from casual labour work other than public works, (Rs. per day)",Female,168.0
"Jan-Mar, 2018","5.a.4: Average agricultural wage earnings from casual labour work other than public works, (Rs. per day)",Male,240.0
"Jan-Mar, 2019","5.a.3: Wages of casual labourers (gender-wise) other than public works, (Rs. per day)",Female,193.0
"Jan-Mar, 2019","5.a.3: Wages of casual labourers (gender-wise) other than public works, (Rs. per day)",Male,299.0
"Jan-Mar, 2019","5.a.4: Average agricultural wage earnings from casual labour work other than public works, (Rs. per day)",Female,185.0
"Jan-Mar, 2019","5.a.4: Average agricultural wage earnings from casual labour work other than public works, (Rs. per day)",Male,250.0
"July-Sep, 2017","5.a.3: Wages of casual labourers (gender-wise) other than public works, (Rs. per day)",Female,169.0
"July-Sep, 2017","5.a.3: Wages of casual labourers (gender-wise) other than public works, (Rs. per day)",Male,265.0
"July-Sep, 2017","5.a.4: Average agricultural wage earnings from casual labour work other than public works, (Rs. per day)",Female,159.0
"July-Sep, 2017","5.a.4: Average agricultural wage earnings from casual labour work other than public works, (Rs. per day)",Male,222.0
"July-Sep, 2018","5.a.3: Wages of casual labourers (gender-wise) other than public works, (Rs. per day)",Female,175.0
"July-Sep, 2018","5.a.3: Wages of casual labourers (gender-wise) other than public works, (Rs. per day)",Male,288.0
"July-Sep, 2018","5.a.4: Average agricultural wage earnings from casual labour work other than public works, (Rs. per day)",Female,164.0
"July-Sep, 2018","5.a.4: Average agricultural wage earnings from casual labour work other than public works, (Rs. per day)",Male,236.0
"Oct-Dec, 2017","5.a.3: Wages of casual labourers (gender-wise) other than public works, (Rs. per day)",Female,173.0
"Oct-Dec, 2017","5.a.3: Wages of casual labourers (gender-wise) other than public works, (Rs. per day)",Male,274.0
"Oct-Dec, 2017","5.a.4: Average agricultural wage earnings from casual labour work other than public works, (Rs. per day)",Female,169.0
"Oct-Dec, 2017","5.a.4: Average agricultural wage earnings from casual labour work other than public works, (Rs. per day)",Male,233.0
"Oct-Dec, 2018","5.a.3: Wages of casual labourers (gender-wise) other than public works, (Rs. per day)",Female,190.0
"Oct-Dec, 2018","5.a.3: Wages of casual labourers (gender-wise) other than public works, (Rs. per day)",Male,298.0
"Oct-Dec, 2018","5.a.4: Average agricultural wage earnings from casual labour work other than public works, (Rs. per day)",Female,181.0
"Oct-Dec, 2018","5.a.4: Average agricultural wage earnings from casual labour work other than public works, (Rs. per day)",Male,254.0
